subway_line_used_most_often,use_of_subway_frequency,average_length_subway_ride,overall_satisfaction,frequency_of_delays,approximate_delay_duration,alternative_transport,frequency_of_rerouting,most_common_reason_for_delay,is_subway_affordable,opinion_on_increased_fares,submitted_at,collection_method,complaint_1,complaint_2,complaint_3
E,Everyday / Almost everyday,20 - 40 min,Somewhat satisfied,A few times a week,5 - 10 min,Use another train,Only at night,Signal malfunction,False,Other / No thoughts,01/10/2019 @ 01:18 PM,online,High fares,Customer service,Station infrastructure
1,Everyday / Almost everyday,20 - 40 min,Not satisfied,A few times a week,10 - 20 min,Wait for next train,All the time,Train traffic,True,Positive,01/10/2019 @ 01:18 PM,online,Frequent route changes,High fares,Overcrowded trains
A,Everyday / Almost everyday,20 - 40 min,Not satisfied,Everyday,10 - 20 min,Wait for next train,Only on weekends,Waiting for signal change,True,Positive,01/10/2019 @ 01:19 PM,online,Delays,Crime / Safety,Overcrowded trains
Q,Everyday / Almost everyday,40 - 60 min,Highly unsatisfied,Everyday,5 - 10 min,Use another train,All the time,Signal malfunction,True,Positive,01/10/2019 @ 01:19 PM,online,Delays,Old trains,Lack of handicap access
L,~5 days per week,,Not satisfied,Rarely,5 - 10 min,Use another train,Almost never,Signal malfunction,True,Neutral,01/10/2019 @ 01:19 PM,online,Delays,Customer service,Old trains
6,"Weekdays, Mon - Fri",20 - 40 min,Neutral,A few times a week,5 - 10 min,Use another train,Almost never,Waiting for signal change,True,Positive,01/10/2019 @ 01:20 PM,online,Delays,Overcrowded trains,Lack of handicap access
7,"Weekdays, Mon - Fri",40 - 60 min,Highly unsatisfied,Everyday,10 - 20 min,Wait for next train,Only on weekends,No reason is given,True,Neutral,01/10/2019 @ 01:20 PM,online,Delays,Overcrowded trains,Lack of handicap access
Q,"More than once a week, varies",< 20 min,Not satisfied,A few times a week,10 - 20 min,Wait for next train,All the time,Signal malfunction,True,Positive,01/10/2019 @ 01:20 PM,online,Delays,High fares,Overcrowded trains
N,Everyday / Almost everyday,40 - 60 min,Somewhat satisfied,Almost never,10 - 20 min,Use another train,Almost never,Train traffic,False,Positive,01/10/2019 @ 01:20 PM,online,Frequent route changes,High fares,Overcrowded trains
R,~5 days per week,20 - 40 min,Not satisfied,A few times a week,10 - 20 min,Wait for next train,Only on weekends,No reason is given,True,Neutral,01/10/2019 @ 01:20 PM,online,Delays,Station infrastructure,Overcrowded trains
Q,"Weekdays, Mon - Fri",40 - 60 min,Somewhat satisfied,A few times a week,5 - 10 min,Use another train,Almost never,Train traffic,True,Positive,01/10/2019 @ 01:20 PM,online,Delays,Station infrastructure,Old trains
N,"Weekdays, Mon - Fri",60 - 90 min,Highly unsatisfied,A few times a week,20 - 45 min,Use another train,All the time,Signal malfunction,True,Unaware,01/10/2019 @ 01:20 PM,online,Delays,Customer service,Station infrastructure
R,"Weekdays, Mon - Fri",20 - 40 min,Not satisfied,Everyday,10 - 20 min,Use another train,All the time,Train traffic,False,Positive,01/10/2019 @ 01:21 PM,online,Delays,Crime / Safety,Overcrowded trains
1,"More than once a week, varies",20 - 40 min,Neutral,Rarely,5 - 10 min,For-hire vehicle,Almost never,Train traffic,True,Positive,01/10/2019 @ 01:21 PM,online,Old trains,Lack of handicap access,
1,Everyday / Almost everyday,40 - 60 min,Not satisfied,A few times a week,10 - 20 min,Wait for next train,Only on weekends,Waiting for signal change,False,Positive,01/10/2019 @ 01:21 PM,online,Delays,Crime / Safety,Overcrowded trains
2,Everyday / Almost everyday,20 - 40 min,Very satisfied,Rarely,5 - 10 min,Use another train,Only on weekends,Waiting for signal change,True,Neutral,01/10/2019 @ 01:21 PM,online,Station infrastructure,Overcrowded trains,Lack of handicap access
2,Once a week,40 - 60 min,Neutral,Rarely,,Use another train,Only on weekends,Train traffic,True,Positive,01/10/2019 @ 01:22 PM,online,Crime / Safety,Station infrastructure,Overcrowded trains
Q,Everyday / Almost everyday,20 - 40 min,Somewhat satisfied,Rarely,5 - 10 min,Use another train,Only on weekends,Train traffic,True,Other / No thoughts,01/10/2019 @ 01:22 PM,online,Delays,Station infrastructure,Overcrowded trains
J,Everyday / Almost everyday,20 - 40 min,Not satisfied,Everyday,10 - 20 min,Wait for next train,All the time,Train traffic,True,Positive,01/10/2019 @ 01:22 PM,online,Delays,Frequent route changes,Station infrastructure
R,"More than once a week, varies",20 - 40 min,Highly unsatisfied,Everyday,10 - 20 min,Wait for next train,Only on weekends,No reason is given,True,Positive,01/10/2019 @ 01:22 PM,online,Delays,High fares,Overcrowded trains
1,Almost never,20 - 40 min,Not satisfied,A few times a week,5 - 10 min,Use another train,Only on weekends,Train traffic,False,Positive,01/10/2019 @ 01:23 PM,online,Frequent route changes,Crime / Safety,Lack of handicap access
1,"Weekdays, Mon - Fri",40 - 60 min,Neutral,A few times a week,5 - 10 min,Use another train,Only on weekends,Train traffic,True,Other / No thoughts,01/10/2019 @ 01:23 PM,online,Station infrastructure,Old trains,Overcrowded trains
A,Everyday / Almost everyday,20 - 40 min,Highly unsatisfied,Everyday,5 - 10 min,Take a bus,Only on weekends,No reason is given,False,Positive,01/10/2019 @ 01:23 PM,online,Delays,Frequent route changes,Overcrowded trains
1,Everyday / Almost everyday,< 20 min,Neutral,Everyday,5 - 10 min,For-hire vehicle,All the time,Train traffic,False,Negative,01/10/2019 @ 01:23 PM,online,Delays,Overcrowded trains,Lack of handicap access
7,"More than once a week, varies",< 20 min,Neutral,Almost never,5 - 10 min,Wait for next train,Only on weekends,No reason is given,True,Negative,01/10/2019 @ 01:23 PM,online,Frequent route changes,Customer service,Lack of handicap access
E,Once a month,60 - 90 min,Neutral,Rarely,5 - 10 min,Wait for next train,Almost never,Train traffic,True,Positive,01/10/2019 @ 01:24 PM,online,Delays,High fares,Crime / Safety
R,"More than once a week, varies",20 - 40 min,Neutral,Rarely,10 - 20 min,Wait for next train,Only on weekends,Train traffic,False,Positive,01/10/2019 @ 01:25 PM,online,Frequent route changes,High fares,Overcrowded trains
F,Everyday / Almost everyday,20 - 40 min,Very satisfied,A few times a week,5 - 10 min,Use another train,Only on weekends,Signal malfunction,True,Neutral,01/10/2019 @ 01:25 PM,online,Delays,Crime / Safety,Overcrowded trains
F,"Weekdays, Mon - Fri",40 - 60 min,Highly unsatisfied,A few times a week,10 - 20 min,Wait for next train,All the time,Train traffic,False,Positive,01/10/2019 @ 01:26 PM,online,Delays,High fares,Overcrowded trains
R,Everyday / Almost everyday,40 - 60 min,Highly unsatisfied,A few times a week,5 - 10 min,Use another train,All the time,Signal malfunction,False,Positive,01/10/2019 @ 01:26 PM,online,Delays,Customer service,Overcrowded trains
F,Everyday / Almost everyday,40 - 60 min,Neutral,A few times a week,10 - 20 min,Wait for next train,Only on weekends,Signal malfunction,True,Positive,01/10/2019 @ 01:26 PM,online,Delays,Station infrastructure,Lack of handicap access
A,Everyday / Almost everyday,40 - 60 min,Highly unsatisfied,Everyday,20 - 45 min,Wait for next train,All the time,Signal malfunction,False,Positive,01/10/2019 @ 01:27 PM,online,Delays,Frequent route changes,High fares
1,"More than once a week, varies",20 - 40 min,Not satisfied,Rarely,5 - 10 min,Wait for next train,Almost never,Waiting for signal change,True,Positive,01/10/2019 @ 01:27 PM,online,Crime / Safety,Overcrowded trains,Lack of handicap access
C,Everyday / Almost everyday,20 - 40 min,Not satisfied,A few times a week,20 - 45 min,Wait for next train,Only at night,Train traffic,True,Other / No thoughts,01/10/2019 @ 01:28 PM,online,Delays,Overcrowded trains,Lack of handicap access
D,Everyday / Almost everyday,60 - 90 min,Somewhat satisfied,A few times a week,5 - 10 min,Use another train,Only on weekends,Train traffic,True,Other / No thoughts,01/10/2019 @ 01:28 PM,online,Delays,Frequent route changes,Old trains
2,Everyday / Almost everyday,40 - 60 min,Highly unsatisfied,Everyday,10 - 20 min,For-hire vehicle,All the time,Train traffic,False,Positive,01/10/2019 @ 01:29 PM,online,Delays,Frequent route changes,Station infrastructure
M,"More than once a week, varies",40 - 60 min,Not satisfied,A few times a week,20 - 45 min,Wait for next train,Only on weekends,No reason is given,False,Positive,01/10/2019 @ 01:29 PM,online,Frequent route changes,High fares,Lack of handicap access
4,Everyday / Almost everyday,20 - 40 min,Not satisfied,Everyday,5 - 10 min,Use another train,Only at night,Train traffic,False,Positive,01/10/2019 @ 01:29 PM,online,Frequent route changes,High fares,Lack of handicap access
N,~5 days per week,40 - 60 min,Highly unsatisfied,Everyday,10 - 20 min,Wait for next train,Only on weekends,Waiting for signal change,True,Positive,01/10/2019 @ 01:29 PM,online,Delays,Frequent route changes,Customer service
4,"Weekdays, Mon - Fri",20 - 40 min,Not satisfied,Everyday,10 - 20 min,Use another train,Only at night,Train traffic,True,Positive,01/10/2019 @ 01:29 PM,online,Delays,Customer service,Overcrowded trains
1,Everyday / Almost everyday,20 - 40 min,Not satisfied,Rarely,5 - 10 min,,All the time,Train traffic,True,Positive,01/10/2019 @ 01:29 PM,online,Frequent route changes,Station infrastructure,Overcrowded trains
A,"More than once a week, varies",90 min - 2 hours,Not satisfied,A few times a week,20 - 45 min,Use another train,Only on weekends,Train traffic,True,Positive,01/10/2019 @ 01:30 PM,online,Delays,Frequent route changes,High fares
1,"Weekdays, Mon - Fri",20 - 40 min,Very satisfied,Rarely,5 - 10 min,Use another train,Almost never,Train traffic,True,Positive,01/10/2019 @ 01:31 PM,online,Frequent route changes,Overcrowded trains,Lack of handicap access
D,"Weekdays, Mon - Fri",40 - 60 min,Somewhat satisfied,Everyday,5 - 10 min,Use another train,All the time,Train traffic,True,Positive,01/10/2019 @ 01:32 PM,online,Delays,Station infrastructure,Overcrowded trains
F,"More than once a week, varies",40 - 60 min,Not satisfied,A few times a week,20 - 45 min,Wait for next train,Only at night,No reason is given,False,Positive,01/10/2019 @ 01:32 PM,online,High fares,Crime / Safety,Lack of handicap access
Q,Everyday / Almost everyday,20 - 40 min,Highly unsatisfied,A few times a week,20 - 45 min,Walk,All the time,Signal malfunction,True,Neutral,01/10/2019 @ 01:32 PM,online,Delays,Station infrastructure,Overcrowded trains
4,~5 days per week,,Neutral,,10 - 20 min,For-hire vehicle,Only on weekends,Train traffic,True,Positive,01/10/2019 @ 01:32 PM,online,Delays,Customer service,Overcrowded trains
M,Once a month,20 - 40 min,Somewhat satisfied,Almost never,5 - 10 min,Wait for next train,All the time,Train traffic,True,Positive,01/10/2019 @ 01:32 PM,online,Frequent route changes,Crime / Safety,Station infrastructure
3,"More than once a week, varies",40 - 60 min,Not satisfied,Everyday,20 - 45 min,For-hire vehicle,All the time,Waiting for signal change,True,Neutral,01/10/2019 @ 01:32 PM,online,Delays,Station infrastructure,Lack of handicap access
N,~5 days per week,40 - 60 min,Highly unsatisfied,Everyday,10 - 20 min,Use another train,Only on weekends,Signal malfunction,False,Positive,01/10/2019 @ 01:32 PM,online,Delays,High fares,Lack of handicap access
R,"More than once a week, varies",40 - 60 min,Not satisfied,Everyday,10 - 20 min,Wait for next train,All the time,Train traffic,False,Positive,01/10/2019 @ 01:32 PM,online,Delays,Customer service,Overcrowded trains
Q,Everyday / Almost everyday,20 - 40 min,Not satisfied,Everyday,5 - 10 min,Use another train,Only on weekends,Waiting for signal change,False,Other / No thoughts,01/10/2019 @ 01:32 PM,online,Delays,Overcrowded trains,Lack of handicap access
7,Once a month,40 - 60 min,,Everyday,,Walk,Only on weekends,Signal malfunction,False,Positive,01/10/2019 @ 01:32 PM,online,Delays,Frequent route changes,Overcrowded trains
1,Everyday / Almost everyday,40 - 60 min,Neutral,,5 - 10 min,Use another train,Only on weekends,Waiting for signal change,True,Positive,01/10/2019 @ 01:33 PM,online,Delays,Frequent route changes,Overcrowded trains
F,"More than once a week, varies",< 20 min,Somewhat satisfied,A few times a week,5 - 10 min,Use another train,Only at night,Train traffic,False,Negative,01/10/2019 @ 01:33 PM,online,Frequent route changes,High fares,Lack of handicap access
4,Everyday / Almost everyday,20 - 40 min,Highly unsatisfied,Everyday,10 - 20 min,For-hire vehicle,Only at night,Train traffic,True,Unaware,01/10/2019 @ 01:34 PM,online,Delays,Crime / Safety,Overcrowded trains
2,"Weekdays, Mon - Fri",20 - 40 min,Neutral,Rarely,10 - 20 min,Use another train,Only at night,Waiting for signal change,True,Positive,01/10/2019 @ 01:34 PM,online,Delays,Station infrastructure,Old trains
N,Everyday / Almost everyday,20 - 40 min,Not satisfied,A few times a week,20 - 45 min,Use another train,All the time,Signal malfunction,False,Positive,01/10/2019 @ 01:34 PM,online,Frequent route changes,High fares,Overcrowded trains
1,"More than once a week, varies",40 - 60 min,Somewhat satisfied,A few times a week,5 - 10 min,,Almost never,Train traffic,False,Negative,01/10/2019 @ 01:34 PM,online,High fares,Lack of handicap access,
E,"Weekdays, Mon - Fri",40 - 60 min,Not satisfied,Everyday,5 - 10 min,Use another train,All the time,Waiting for signal change,True,Positive,01/10/2019 @ 01:34 PM,online,Delays,Customer service,Overcrowded trains
F,Everyday / Almost everyday,20 - 40 min,Somewhat satisfied,A few times a week,5 - 10 min,Wait for next train,All the time,Train traffic,False,Other / No thoughts,01/10/2019 @ 01:35 PM,online,Delays,Frequent route changes,Overcrowded trains
J,~5 days per week,20 - 40 min,Not satisfied,A few times a week,10 - 20 min,Use another train,Only at night,Train traffic,False,Negative,01/10/2019 @ 01:35 PM,online,Delays,Station infrastructure,Overcrowded trains
L,Everyday / Almost everyday,20 - 40 min,,Rarely,10 - 20 min,Use another train,Only on weekends,Train traffic,False,Positive,01/10/2019 @ 01:35 PM,online,Delays,Crime / Safety,Overcrowded trains
1,"Weekdays, Mon - Fri",< 20 min,Highly unsatisfied,A few times a week,10 - 20 min,Walk,,Train traffic,False,Other / No thoughts,01/10/2019 @ 01:36 PM,online,Delays,High fares,Overcrowded trains
3,Once a week,40 - 60 min,Neutral,Rarely,10 - 20 min,For-hire vehicle,Only on weekends,No reason is given,True,Negative,01/10/2019 @ 01:36 PM,online,Delays,High fares,Overcrowded trains
Q,~5 days per week,20 - 40 min,Somewhat satisfied,Rarely,5 - 10 min,Use another train,Only on weekends,Signal malfunction,True,Neutral,01/10/2019 @ 01:37 PM,online,Frequent route changes,Station infrastructure,Overcrowded trains
N,Everyday / Almost everyday,20 - 40 min,Not satisfied,A few times a week,5 - 10 min,Use another train,All the time,No reason is given,True,Positive,01/10/2019 @ 01:37 PM,online,Delays,Frequent route changes,Overcrowded trains
A,~5 days per week,60 - 90 min,Not satisfied,A few times a week,20 - 45 min,Wait for next train,Only on weekends,Sick passenger,False,Positive,01/10/2019 @ 01:37 PM,online,Delays,Frequent route changes,Overcrowded trains
D,"Weekdays, Mon - Fri",40 - 60 min,Highly unsatisfied,Rarely,10 - 20 min,Use another train,Only on weekends,Sick passenger,False,Positive,01/10/2019 @ 01:38 PM,online,Delays,Frequent route changes,Overcrowded trains
1,~5 days per week,40 - 60 min,Highly unsatisfied,A few times a week,10 - 20 min,Wait for next train,All the time,Signal malfunction,False,Positive,01/10/2019 @ 01:38 PM,online,Delays,Frequent route changes,High fares
N,"Weekdays, Mon - Fri",40 - 60 min,Not satisfied,A few times a week,10 - 20 min,Wait for next train,All the time,Signal malfunction,True,Positive,01/10/2019 @ 01:39 PM,online,Delays,Station infrastructure,Overcrowded trains
F,Everyday / Almost everyday,40 - 60 min,Not satisfied,A few times a week,,Use another train,Only on weekends,No reason is given,True,Positive,01/10/2019 @ 01:39 PM,online,Old trains,Overcrowded trains,Lack of handicap access
1,~5 days per week,< 20 min,Somewhat satisfied,A few times a week,5 - 10 min,For-hire vehicle,Only on weekends,Signal malfunction,True,Neutral,01/10/2019 @ 01:39 PM,online,Crime / Safety,Customer service,Overcrowded trains
Q,Everyday / Almost everyday,60 - 90 min,Somewhat satisfied,Rarely,10 - 20 min,Use another train,Only on weekends,Train traffic,False,Neutral,01/10/2019 @ 01:40 PM,online,Customer service,Station infrastructure,Lack of handicap access
7,Everyday / Almost everyday,40 - 60 min,Not satisfied,A few times a week,20 - 45 min,Use another train,All the time,Signal malfunction,False,Positive,01/10/2019 @ 01:40 PM,online,Delays,Customer service,Overcrowded trains
Q,"More than once a week, varies",20 - 40 min,Somewhat satisfied,A few times a week,5 - 10 min,Wait for next train,All the time,Signal malfunction,False,Negative,01/10/2019 @ 01:41 PM,online,Delays,High fares,Lack of handicap access
Q,Everyday / Almost everyday,40 - 60 min,Not satisfied,A few times a week,20 - 45 min,Wait for next train,All the time,Train traffic,True,Neutral,01/10/2019 @ 01:41 PM,online,Delays,Station infrastructure,Overcrowded trains
M,Everyday / Almost everyday,20 - 40 min,,A few times a week,10 - 20 min,Wait for next train,All the time,Waiting for signal change,True,Positive,01/10/2019 @ 01:41 PM,online,Delays,Frequent route changes,Station infrastructure
4,Everyday / Almost everyday,< 20 min,Highly unsatisfied,Everyday,5 - 10 min,Use another train,All the time,Train traffic,True,Positive,01/10/2019 @ 01:41 PM,online,Delays,High fares,Customer service
E,Everyday / Almost everyday,20 - 40 min,Not satisfied,A few times a week,5 - 10 min,Use another train,Only on weekends,Train traffic,False,Positive,01/10/2019 @ 01:41 PM,online,Delays,Frequent route changes,Crime / Safety
F,"More than once a week, varies",40 - 60 min,Highly unsatisfied,Everyday,20 - 45 min,Wait for next train,All the time,Train traffic,True,Positive,01/10/2019 @ 01:42 PM,online,Crime / Safety,Overcrowded trains,Lack of handicap access
Q,Everyday / Almost everyday,40 - 60 min,Not satisfied,A few times a week,10 - 20 min,Use another train,All the time,Train traffic,True,Unaware,01/10/2019 @ 01:42 PM,online,Delays,Frequent route changes,Overcrowded trains
5,Everyday / Almost everyday,60 - 90 min,Highly unsatisfied,Everyday,10 - 20 min,Walk,All the time,Signal malfunction,False,Positive,01/10/2019 @ 01:42 PM,online,Delays,Station infrastructure,Overcrowded trains
L,~5 days per week,60 - 90 min,,Everyday,5 - 10 min,Use another train,Almost never,Train traffic,True,Negative,01/10/2019 @ 01:42 PM,online,Delays,Frequent route changes,High fares
1,"Weekdays, Mon - Fri",20 - 40 min,Somewhat satisfied,A few times a week,20 - 45 min,Wait for next train,Only on weekends,Train traffic,True,Positive,01/10/2019 @ 01:42 PM,online,Delays,Customer service,Overcrowded trains
L,"Weekdays, Mon - Fri",40 - 60 min,Not satisfied,A few times a week,5 - 10 min,Use another train,Only on weekends,Waiting for signal change,True,Unaware,01/10/2019 @ 01:43 PM,online,Delays,Overcrowded trains,Lack of handicap access
A,"Weekdays, Mon - Fri",60 - 90 min,Highly unsatisfied,A few times a week,20 - 45 min,Wait for next train,All the time,Train traffic,False,Negative,01/10/2019 @ 01:43 PM,online,Delays,Crime / Safety,Overcrowded trains
2,Everyday / Almost everyday,40 - 60 min,Highly unsatisfied,Everyday,10 - 20 min,Wait for next train,All the time,Train traffic,False,Positive,01/10/2019 @ 01:44 PM,online,Delays,High fares,Customer service
A,Everyday / Almost everyday,40 - 60 min,Highly unsatisfied,Everyday,20 - 45 min,Use another train,All the time,Train traffic,False,Positive,01/10/2019 @ 01:44 PM,online,Delays,Overcrowded trains,Lack of handicap access
1,"More than once a week, varies",< 20 min,Somewhat satisfied,Rarely,5 - 10 min,Use another train,Only on weekends,Train traffic,True,Neutral,01/10/2019 @ 01:44 PM,online,Delays,Station infrastructure,Old trains
6,Everyday / Almost everyday,< 20 min,Neutral,Rarely,10 - 20 min,Walk,Only on weekends,,True,Other / No thoughts,01/10/2019 @ 01:44 PM,online,Customer service,Station infrastructure,Overcrowded trains
5,"Weekdays, Mon - Fri",20 - 40 min,Neutral,Rarely,10 - 20 min,For-hire vehicle,Almost never,Signal malfunction,False,Positive,01/10/2019 @ 01:45 PM,online,Delays,Customer service,Overcrowded trains
N,"Weekdays, Mon - Fri",20 - 40 min,Highly unsatisfied,Everyday,20 - 45 min,Use another train,All the time,Train traffic,False,Negative,01/10/2019 @ 01:45 PM,online,Delays,High fares,Customer service
J,Everyday / Almost everyday,20 - 40 min,Not satisfied,Everyday,5 - 10 min,For-hire vehicle,All the time,Signal malfunction,False,Negative,01/10/2019 @ 01:45 PM,online,Delays,Frequent route changes,High fares
L,"Weekdays, Mon - Fri",40 - 60 min,Somewhat satisfied,A few times a week,5 - 10 min,Wait for next train,Almost never,Waiting for signal change,False,Other / No thoughts,01/10/2019 @ 01:46 PM,online,High fares,Overcrowded trains,
1,~5 days per week,40 - 60 min,Not satisfied,Everyday,5 - 10 min,Wait for next train,Only on weekends,Train traffic,True,Positive,01/10/2019 @ 01:46 PM,online,Delays,Customer service,Overcrowded trains
Q,Everyday / Almost everyday,20 - 40 min,Not satisfied,Everyday,10 - 20 min,Wait for next train,All the time,No reason is given,True,Unaware,01/10/2019 @ 01:46 PM,online,Delays,Frequent route changes,Overcrowded trains
F,"Weekdays, Mon - Fri",40 - 60 min,Not satisfied,A few times a week,5 - 10 min,Use another train,Only at night,Train traffic,True,Neutral,01/10/2019 @ 01:47 PM,online,Delays,Station infrastructure,Overcrowded trains
7,~5 days per week,60 - 90 min,Highly unsatisfied,Everyday,10 - 20 min,Wait for next train,Only on weekends,No reason is given,True,Positive,01/10/2019 @ 01:47 PM,online,Delays,Station infrastructure,Overcrowded trains
N,"More than once a week, varies",20 - 40 min,Somewhat satisfied,Rarely,10 - 20 min,Wait for next train,Only at night,Train traffic,True,Positive,01/10/2019 @ 01:48 PM,online,Delays,Crime / Safety,Overcrowded trains
F,Everyday / Almost everyday,20 - 40 min,Somewhat satisfied,A few times a week,5 - 10 min,Wait for next train,Only on weekends,Train traffic,True,Positive,01/10/2019 @ 01:48 PM,online,Old trains,Overcrowded trains,Lack of handicap access
7,"Weekdays, Mon - Fri",60 - 90 min,Not satisfied,A few times a week,10 - 20 min,Wait for next train,Almost never,Train traffic,True,Positive,01/10/2019 @ 01:48 PM,online,Delays,Crime / Safety,Overcrowded trains
N,Everyday / Almost everyday,40 - 60 min,Highly unsatisfied,Everyday,10 - 20 min,For-hire vehicle,Only on weekends,Signal malfunction,True,Positive,01/10/2019 @ 01:48 PM,online,Delays,High fares,Overcrowded trains
L,Everyday / Almost everyday,40 - 60 min,Highly unsatisfied,A few times a week,10 - 20 min,For-hire vehicle,Only on weekends,Signal malfunction,True,Positive,01/10/2019 @ 01:49 PM,online,Station infrastructure,Overcrowded trains,Lack of handicap access
B,Everyday / Almost everyday,20 - 40 min,Highly unsatisfied,A few times a week,20 - 45 min,Bike,Only on weekends,Train traffic,True,Unaware,01/10/2019 @ 01:49 PM,online,Delays,Frequent route changes,Station infrastructure
2,Everyday / Almost everyday,20 - 40 min,Highly unsatisfied,A few times a week,10 - 20 min,Wait for next train,All the time,Train traffic,True,Positive,01/10/2019 @ 01:49 PM,online,Delays,Frequent route changes,Overcrowded trains
M,Everyday / Almost everyday,20 - 40 min,Somewhat satisfied,Rarely,5 - 10 min,Use another train,Only on weekends,Train traffic,True,Other / No thoughts,01/10/2019 @ 01:49 PM,online,Crime / Safety,,
1,Everyday / Almost everyday,60 - 90 min,Not satisfied,Everyday,10 - 20 min,Wait for next train,Only on weekends,Train traffic,False,Positive,01/10/2019 @ 01:51 PM,online,Delays,Frequent route changes,Overcrowded trains
C,Everyday / Almost everyday,20 - 40 min,Not satisfied,A few times a week,5 - 10 min,Use another train,Only on weekends,Train traffic,True,Negative,01/10/2019 @ 01:52 PM,online,Frequent route changes,Crime / Safety,Lack of handicap access
D,Everyday / Almost everyday,40 - 60 min,Not satisfied,Everyday,5 - 10 min,Use another train,Only on weekends,Train traffic,True,Positive,01/10/2019 @ 01:54 PM,online,Delays,Frequent route changes,Customer service
F,~5 days per week,60 - 90 min,Not satisfied,A few times a week,10 - 20 min,Use another train,Only on weekends,Signal malfunction,False,Positive,01/10/2019 @ 01:54 PM,online,Delays,High fares,Overcrowded trains
3,Once a week,20 - 40 min,Neutral,Rarely,5 - 10 min,Wait for next train,Only at night,Waiting for signal change,True,Positive,01/10/2019 @ 01:54 PM,online,Station infrastructure,Overcrowded trains,Lack of handicap access
E,Everyday / Almost everyday,40 - 60 min,Not satisfied,A few times a week,5 - 10 min,Wait for next train,Only at night,No reason is given,True,Positive,01/10/2019 @ 01:54 PM,online,High fares,Station infrastructure,Overcrowded trains
5,Everyday / Almost everyday,60 - 90 min,Highly unsatisfied,Everyday,20 - 45 min,Wait for next train,Only on weekends,Train traffic,True,Neutral,01/10/2019 @ 01:55 PM,online,Delays,Frequent route changes,Crime / Safety
R,"More than once a week, varies",20 - 40 min,Very satisfied,Almost never,5 - 10 min,Wait for next train,Almost never,Train traffic,True,Unaware,01/10/2019 @ 01:55 PM,online,Overcrowded trains,,
2,Everyday / Almost everyday,20 - 40 min,Not satisfied,A few times a week,5 - 10 min,Use another train,Only at night,Signal malfunction,False,Positive,01/10/2019 @ 01:55 PM,online,Delays,High fares,Customer service
1,Everyday / Almost everyday,40 - 60 min,Highly unsatisfied,Everyday,10 - 20 min,,All the time,Train traffic,True,Positive,01/10/2019 @ 01:55 PM,online,Delays,Frequent route changes,Overcrowded trains
4,Almost never,40 - 60 min,Not satisfied,Rarely,5 - 10 min,Wait for next train,Almost never,Train traffic,False,Other / No thoughts,01/10/2019 @ 01:56 PM,online,Crime / Safety,Overcrowded trains,Lack of handicap access
F,Everyday / Almost everyday,< 20 min,Not satisfied,A few times a week,5 - 10 min,For-hire vehicle,Almost never,Train traffic,False,Unaware,01/10/2019 @ 01:56 PM,online,Delays,Old trains,Overcrowded trains
F,"More than once a week, varies",60 - 90 min,Not satisfied,A few times a week,,,Only on weekends,No reason is given,False,Positive,01/10/2019 @ 01:56 PM,online,Delays,Overcrowded trains,Lack of handicap access
5,Almost never,40 - 60 min,Neutral,Everyday,,Wait for next train,Almost never,Train traffic,True,Neutral,01/10/2019 @ 01:57 PM,online,Delays,Overcrowded trains,Lack of handicap access
F,"Weekdays, Mon - Fri",40 - 60 min,Neutral,A few times a week,20 - 45 min,Wait for next train,All the time,Train traffic,False,Negative,01/10/2019 @ 01:57 PM,online,Delays,High fares,Crime / Safety
7,~5 days per week,20 - 40 min,Not satisfied,A few times a week,10 - 20 min,For-hire vehicle,All the time,Signal malfunction,False,Positive,01/10/2019 @ 01:58 PM,online,Delays,High fares,Overcrowded trains
5,Everyday / Almost everyday,< 20 min,Neutral,,5 - 10 min,Use another train,Only on weekends,No reason is given,True,Positive,01/10/2019 @ 01:58 PM,online,Frequent route changes,Station infrastructure,Overcrowded trains
L,"Weekdays, Mon - Fri",20 - 40 min,Not satisfied,Rarely,5 - 10 min,Use another train,Only on weekends,Signal malfunction,True,Positive,01/10/2019 @ 01:59 PM,online,Frequent route changes,Overcrowded trains,Lack of handicap access
D,Once a month,40 - 60 min,Neutral,Rarely,5 - 10 min,Wait for next train,Only on weekends,Train traffic,True,Negative,01/10/2019 @ 01:59 PM,online,Frequent route changes,Crime / Safety,Lack of handicap access
2,Once a month,40 - 60 min,Somewhat satisfied,Almost never,10 - 20 min,For-hire vehicle,,,True,Positive,01/10/2019 @ 01:59 PM,online,Crime / Safety,Overcrowded trains,
7,Once a month,90 min - 2 hours,Not satisfied,Everyday,20 - 45 min,Wait for next train,All the time,Waiting for signal change,False,Positive,01/10/2019 @ 02:00 PM,online,Overcrowded trains,Lack of handicap access,
N,Once a month,40 - 60 min,Somewhat satisfied,Almost never,5 - 10 min,Use another train,Almost never,Waiting for signal change,True,Neutral,01/10/2019 @ 02:00 PM,online,Frequent route changes,Customer service,Station infrastructure
N,Everyday / Almost everyday,40 - 60 min,Not satisfied,A few times a week,10 - 20 min,Use another train,All the time,Train traffic,False,Positive,01/10/2019 @ 02:01 PM,online,Delays,Frequent route changes,Overcrowded trains
Q,"Weekdays, Mon - Fri",20 - 40 min,Somewhat satisfied,Rarely,10 - 20 min,Use another train,Only on weekends,Waiting for signal change,True,Positive,01/10/2019 @ 02:02 PM,online,Delays,Frequent route changes,Overcrowded trains
